id,diamond_clarity,diamond_color,diamond_shape,carat_start,carat_end,factor
610,I3,F,Round,1.0,1.49,15.0
611,IF,G,Round,1.0,1.49,107.0
612,VVS1,G,Round,1.0,1.49,102.0
613,VVS2,G,Round,1.0,1.49,95.0
614,VS1,G,Round,1.0,1.49,90.0
615,VS2,G,Round,1.0,1.49,83.0
616,SI1,G,Round,1.0,1.49,74.0
617,SI2,G,Round,1.0,1.49,60.0
618,SI3,G,Round,1.0,1.49,52.0
619,I1,G,Round,1.0,1.49,42.0
620,I2,G,Round,1.0,1.49,24.0
621,I3,G,Round,1.0,1.49,14.0
622,IF,H,Round,1.0,1.49,90.0
623,VVS1,H,Round,1.0,1.49,85.0
624,VVS2,H,Round,1.0,1.49,82.0
625,VS1,H,Round,1.0,1.49,80.0
626,VS2,H,Round,1.0,1.49,76.0
627,SI1,H,Round,1.0,1.49,68.0
628,SI2,H,Round,1.0,1.49,57.0
629,SI3,H,Round,1.0,1.49,49.0
630,I1,H,Round,1.0,1.49,40.0
631,I2,H,Round,1.0,1.49,23.0
632,I3,H,Round,1.0,1.49,14.0
633,IF,I,Round,1.0,1.49,76.0
634,VVS1,I,Round,1.0,1.49,72.0
635,VVS2,I,Round,1.0,1.49,70.0
636,VS1,I,Round,1.0,1.49,68.0
637,VS2,I,Round,1.0,1.49,66.0
638,SI1,I,Round,1.0,1.49,62.0
639,SI2,I,Round,1.0,1.49,53.0
640,SI3,I,Round,1.0,1.49,46.0
641,I1,I,Round,1.0,1.49,36.0
642,I2,I,Round,1.0,1.49,22.0
643,I3,I,Round,1.0,1.49,13.0
644,IF,J,Round,1.0,1.49,63.0
645,VVS1,J,Round,1.0,1.49,61.0
646,VVS2,J,Round,1.0,1.49,60.0
647,VS1,J,Round,1.0,1.49,59.0
648,VS2,J,Round,1.0,1.49,57.0
649,SI1,J,Round,1.0,1.49,53.0
650,SI2,J,Round,1.0,1.49,48.0
651,SI3,J,Round,1.0,1.49,42.0
652,I1,J,Round,1.0,1.49,33.0
653,I2,J,Round,1.0,1.49,20.0
654,I3,J,Round,1.0,1.49,13.0
655,IF,K,Round,1.0,1.49,53.0
656,VVS1,K,Round,1.0,1.49,51.0
657,VVS2,K,Round,1.0,1.49,49.0
658,VS1,K,Round,1.0,1.49,47.0
659,VS2,K,Round,1.0,1.49,45.0
660,SI1,K,Round,1.0,1.49,43.0
661,SI2,K,Round,1.0,1.49,39.0
662,SI3,K,Round,1.0,1.49,36.0
663,I1,K,Round,1.0,1.49,31.0
664,I2,K,Round,1.0,1.49,18.0
665,I3,K,Round,1.0,1.49,12.0
666,IF,L,Round,1.0,1.49,48.0
667,VVS1,L,Round,1.0,1.49,46.0
668,VVS2,L,Round,1.0,1.49,45.0
669,VS1,L,Round,1.0,1.49,43.0
670,VS2,L,Round,1.0,1.49,41.0
671,SI1,L,Round,1.0,1.49,38.0
672,SI2,L,Round,1.0,1.49,35.0
673,SI3,L,Round,1.0,1.49,33.0
674,I1,L,Round,1.0,1.49,29.0
675,I2,L,Round,1.0,1.49,17.0
676,I3,L,Round,1.0,1.49,11.0
677,IF,M,Round,1.0,1.49,43.0
678,VVS1,M,Round,1.0,1.49,41.0
679,VVS2,M,Round,1.0,1.49,39.0
680,VS1,M,Round,1.0,1.49,38.0
681,VS2,M,Round,1.0,1.49,36.0
682,SI1,M,Round,1.0,1.49,34.0
683,SI2,M,Round,1.0,1.49,30.0
684,SI3,M,Round,1.0,1.49,28.0
685,I1,M,Round,1.0,1.49,26.0
686,I2,M,Round,1.0,1.49,16.0
687,I3,M,Round,1.0,1.49,11.0
688,IF,D,Round,1.5,1.99,265.0
689,VVS1,D,Round,1.5,1.99,208.0
690,VVS2,D,Round,1.5,1.99,178.0
691,VS1,D,Round,1.5,1.99,160.0
692,VS2,D,Round,1.5,1.99,142.0
693,SI1,D,Round,1.5,1.99,108.0
694,SI2,D,Round,1.5,1.99,88.0
695,SI3,D,Round,1.5,1.99,70.0
696,I1,D,Round,1.5,1.99,54.0
697,I2,D,Round,1.5,1.99,31.0
698,I3,D,Round,1.5,1.99,18.0
699,IF,E,Round,1.5,1.99,208.0
700,VVS1,E,Round,1.5,1.99,186.0
701,VVS2,E,Round,1.5,1.99,159.0
702,VS1,E,Round,1.5,1.99,149.0
703,VS2,E,Round,1.5,1.99,131.0
704,SI1,E,Round,1.5,1.99,105.0
705,SI2,E,Round,1.5,1.99,85.0
706,SI3,E,Round,1.5,1.99,68.0
707,I1,E,Round,1.5,1.99,51.0
708,I2,E,Round,1.5,1.99,30.0
709,I3,E,Round,1.5,1.99,17.0
710,IF,F,Round,1.5,1.99,182.0
711,VVS1,F,Round,1.5,1.99,162.0
712,VVS2,F,Round,1.5,1.99,140.0
713,VS1,F,Round,1.5,1.99,131.0
714,VS2,F,Round,1.5,1.99,118.0
715,SI1,F,Round,1.5,1.99,100.0
716,SI2,F,Round,1.5,1.99,80.0
717,SI3,F,Round,1.5,1.99,65.0
718,I1,F,Round,1.5,1.99,50.0
719,I2,F,Round,1.5,1.99,29.0
720,I3,F,Round,1.5,1.99,16.0
721,IF,G,Round,1.5,1.99,145.0
722,VVS1,G,Round,1.5,1.99,136.0
723,VVS2,G,Round,1.5,1.99,122.0
724,VS1,G,Round,1.5,1.99,114.0
725,VS2,G,Round,1.5,1.99,108.0
726,SI1,G,Round,1.5,1.99,95.0
727,SI2,G,Round,1.5,1.99,75.0
728,SI3,G,Round,1.5,1.99,64.0
729,I1,G,Round,1.5,1.99,49.0
730,I2,G,Round,1.5,1.99,28.0
731,I3,G,Round,1.5,1.99,16.0
732,IF,H,Round,1.5,1.99,116.0
733,VVS1,H,Round,1.5,1.99,112.0
734,VVS2,H,Round,1.5,1.99,103.0
735,VS1,H,Round,1.5,1.99,98.0
736,VS2,H,Round,1.5,1.99,94.0
737,SI1,H,Round,1.5,1.99,87.0
738,SI2,H,Round,1.5,1.99,71.0
739,SI3,H,Round,1.5,1.99,60.0
740,I1,H,Round,1.5,1.99,47.0
741,I2,H,Round,1.5,1.99,27.0
742,I3,H,Round,1.5,1.99,16.0
743,IF,I,Round,1.5,1.99,94.0
744,VVS1,I,Round,1.5,1.99,90.0
745,VVS2,I,Round,1.5,1.99,85.0
746,VS1,I,Round,1.5,1.99,82.0
747,VS2,I,Round,1.5,1.99,79.0
748,SI1,I,Round,1.5,1.99,75.0
749,SI2,I,Round,1.5,1.99,64.0
750,SI3,I,Round,1.5,1.99,55.0
751,I1,I,Round,1.5,1.99,43.0
752,I2,I,Round,1.5,1.99,25.0
753,I3,I,Round,1.5,1.99,15.0
754,IF,J,Round,1.5,1.99,79.0
755,VVS1,J,Round,1.5,1.99,74.0
756,VVS2,J,Round,1.5,1.99,72.0
757,VS1,J,Round,1.5,1.99,70.0
758,VS2,J,Round,1.5,1.99,66.0
759,SI1,J,Round,1.5,1.99,62.0
760,SI2,J,Round,1.5,1.99,56.0
761,SI3,J,Round,1.5,1.99,48.0
762,I1,J,Round,1.5,1.99,38.0
763,I2,J,Round,1.5,1.99,23.0
764,I3,J,Round,1.5,1.99,15.0
765,IF,K,Round,1.5,1.99,67.0
766,VVS1,K,Round,1.5,1.99,64.0
767,VVS2,K,Round,1.5,1.99,62.0
768,VS1,K,Round,1.5,1.99,58.0
769,VS2,K,Round,1.5,1.99,55.0
770,SI1,K,Round,1.5,1.99,52.0
771,SI2,K,Round,1.5,1.99,48.0
772,SI3,K,Round,1.5,1.99,42.0
773,I1,K,Round,1.5,1.99,35.0
774,I2,K,Round,1.5,1.99,20.0
775,I3,K,Round,1.5,1.99,14.0
776,IF,L,Round,1.5,1.99,57.0
777,VVS1,L,Round,1.5,1.99,55.0
778,VVS2,L,Round,1.5,1.99,53.0
779,VS1,L,Round,1.5,1.99,49.0
780,VS2,L,Round,1.5,1.99,46.0
781,SI1,L,Round,1.5,1.99,44.0
782,SI2,L,Round,1.5,1.99,41.0
783,SI3,L,Round,1.5,1.99,38.0
784,I1,L,Round,1.5,1.99,32.0
785,I2,L,Round,1.5,1.99,19.0
786,I3,L,Round,1.5,1.99,13.0
787,IF,M,Round,1.5,1.99,48.0
788,VVS1,M,Round,1.5,1.99,46.0
789,VVS2,M,Round,1.5,1.99,44.0
790,VS1,M,Round,1.5,1.99,42.0
791,VS2,M,Round,1.5,1.99,40.0
792,SI1,M,Round,1.5,1.99,38.0
793,SI2,M,Round,1.5,1.99,36.0
794,SI3,M,Round,1.5,1.99,33.0
795,I1,M,Round,1.5,1.99,28.0
796,I2,M,Round,1.5,1.99,18.0
797,I3,M,Round,1.5,1.99,13.0
798,IF,D,Round,2.0,2.99,440.0
799,VVS1,D,Round,2.0,2.99,345.0
800,VVS2,D,Round,2.0,2.99,300.0
801,VS1,D,Round,2.0,2.99,260.0
802,VS2,D,Round,2.0,2.99,195.0
803,SI1,D,Round,2.0,2.99,155.0
804,SI2,D,Round,2.0,2.99,120.0
805,SI3,D,Round,2.0,2.99,81.0
806,I1,D,Round,2.0,2.99,64.0
807,I2,D,Round,2.0,2.99,33.0
808,I3,D,Round,2.0,2.99,19.0
809,IF,E,Round,2.0,2.99,320.0
810,VVS1,E,Round,2.0,2.99,290.0
811,VVS2,E,Round,2.0,2.99,255.0
812,VS1,E,Round,2.0,2.99,225.0
813,VS2,E,Round,2.0,2.99,180.0
814,SI1,E,Round,2.0,2.99,145.0
815,SI2,E,Round,2.0,2.99,110.0
816,SI3,E,Round,2.0,2.99,78.0
817,I1,E,Round,2.0,2.99,62.0
818,I2,E,Round,2.0,2.99,32.0
819,I3,E,Round,2.0,2.99,18.0
820,IF,F,Round,2.0,2.99,280.0
821,VVS1,F,Round,2.0,2.99,250.0
822,VVS2,F,Round,2.0,2.99,225.0
823,VS1,F,Round,2.0,2.99,190.0
824,VS2,F,Round,2.0,2.99,165.0
825,SI1,F,Round,2.0,2.99,135.0
826,SI2,F,Round,2.0,2.99,105.0
827,SI3,F,Round,2.0,2.99,75.0
828,I1,F,Round,2.0,2.99,60.0
829,I2,F,Round,2.0,2.99,31.0
830,I3,F,Round,2.0,2.99,17.0
831,IF,G,Round,2.0,2.99,225.0
832,VVS1,G,Round,2.0,2.99,200.0
833,VVS2,G,Round,2.0,2.99,180.0
834,VS1,G,Round,2.0,2.99,160.0
835,VS2,G,Round,2.0,2.99,145.0
836,SI1,G,Round,2.0,2.99,125.0
837,SI2,G,Round,2.0,2.99,100.0
838,SI3,G,Round,2.0,2.99,70.0
839,I1,G,Round,2.0,2.99,58.0
840,I2,G,Round,2.0,2.99,30.0
841,I3,G,Round,2.0,2.99,16.0
842,IF,H,Round,2.0,2.99,170.0
843,VVS1,H,Round,2.0,2.99,165.0
844,VVS2,H,Round,2.0,2.99,155.0
845,VS1,H,Round,2.0,2.99,140.0
846,VS2,H,Round,2.0,2.99,125.0
847,SI1,H,Round,2.0,2.99,110.0
848,SI2,H,Round,2.0,2.99,95.0
849,SI3,H,Round,2.0,2.99,65.0
850,I1,H,Round,2.0,2.99,55.0
851,I2,H,Round,2.0,2.99,29.0
852,I3,H,Round,2.0,2.99,16.0
853,IF,I,Round,2.0,2.99,130.0
854,VVS1,I,Round,2.0,2.99,125.0
855,VVS2,I,Round,2.0,2.99,120.0
856,VS1,I,Round,2.0,2.99,112.0
857,VS2,I,Round,2.0,2.99,105.0
858,SI1,I,Round,2.0,2.99,95.0
859,SI2,I,Round,2.0,2.99,85.0
860,SI3,I,Round,2.0,2.99,60.0
861,I1,I,Round,2.0,2.99,51.0
862,I2,I,Round,2.0,2.99,27.0
863,I3,I,Round,2.0,2.99,16.0
864,IF,J,Round,2.0,2.99,105.0
865,VVS1,J,Round,2.0,2.99,100.0
866,VVS2,J,Round,2.0,2.99,95.0
867,VS1,J,Round,2.0,2.99,90.0
868,VS2,J,Round,2.0,2.99,85.0
869,SI1,J,Round,2.0,2.99,80.0
870,SI2,J,Round,2.0,2.99,70.0
871,SI3,J,Round,2.0,2.99,55.0
872,I1,J,Round,2.0,2.99,47.0
873,I2,J,Round,2.0,2.99,24.0
874,I3,J,Round,2.0,2.99,15.0
875,IF,K,Round,2.0,2.99,95.0
876,VVS1,K,Round,2.0,2.99,88.0
877,VVS2,K,Round,2.0,2.99,80.0
878,VS1,K,Round,2.0,2.99,75.0
879,VS2,K,Round,2.0,2.99,70.0
880,SI1,K,Round,2.0,2.99,65.0
881,SI2,K,Round,2.0,2.99,60.0
882,SI3,K,Round,2.0,2.99,50.0
883,I1,K,Round,2.0,2.99,42.0
884,I2,K,Round,2.0,2.99,23.0
885,I3,K,Round,2.0,2.99,15.0
886,IF,L,Round,2.0,2.99,80.0
887,VVS1,L,Round,2.0,2.99,75.0
888,VVS2,L,Round,2.0,2.99,70.0
889,VS1,L,Round,2.0,2.99,65.0
890,VS2,L,Round,2.0,2.99,60.0
891,SI1,L,Round,2.0,2.99,55.0
892,SI2,L,Round,2.0,2.99,50.0
893,SI3,L,Round,2.0,2.99,45.0
894,I1,L,Round,2.0,2.99,37.0
895,I2,L,Round,2.0,2.99,22.0
896,I3,L,Round,2.0,2.99,14.0
897,IF,M,Round,2.0,2.99,69.0
898,VVS1,M,Round,2.0,2.99,66.0
899,VVS2,M,Round,2.0,2.99,63.0
900,VS1,M,Round,2.0,2.99,60.0
901,VS2,M,Round,2.0,2.99,55.0
902,SI1,M,Round,2.0,2.99,50.0
903,SI2,M,Round,2.0,2.99,46.0
904,SI3,M,Round,2.0,2.99,39.0
905,I1,M,Round,2.0,2.99,30.0
906,I2,M,Round,2.0,2.99,21.0
907,I3,M,Round,2.0,2.99,14.0
908,IF,D,Round,3.0,3.99,810.0
909,VVS1,D,Round,3.0,3.99,590.0
910,VVS2,D,Round,3.0,3.99,500.0
911,VS1,D,Round,3.0,3.99,430.0
912,VS2,D,Round,3.0,3.99,330.0
913,SI1,D,Round,3.0,3.99,230.0
914,SI2,D,Round,3.0,3.99,160.0
915,SI3,D,Round,3.0,3.99,95.0
916,I1,D,Round,3.0,3.99,77.0
917,I2,D,Round,3.0,3.99,39.0
918,I3,D,Round,3.0,3.99,21.0
919,IF,E,Round,3.0,3.99,545.0
920,VVS1,E,Round,3.0,3.99,500.0
921,VVS2,E,Round,3.0,3.99,420.0
922,VS1,E,Round,3.0,3.99,370.0
923,VS2,E,Round,3.0,3.99,295.0
924,SI1,E,Round,3.0,3.99,210.0
925,SI2,E,Round,3.0,3.99,155.0
926,SI3,E,Round,3.0,3.99,90.0
927,I1,E,Round,3.0,3.99,72.0
928,I2,E,Round,3.0,3.99,37.0
929,I3,E,Round,3.0,3.99,20.0
930,IF,F,Round,3.0,3.99,470.0
931,VVS1,F,Round,3.0,3.99,425.0
932,VVS2,F,Round,3.0,3.99,370.0
933,VS1,F,Round,3.0,3.99,310.0
934,VS2,F,Round,3.0,3.99,270.0
935,SI1,F,Round,3.0,3.99,190.0
936,SI2,F,Round,3.0,3.99,150.0
937,SI3,F,Round,3.0,3.99,85.0
938,I1,F,Round,3.0,3.99,67.0
939,I2,F,Round,3.0,3.99,36.0
940,I3,F,Round,3.0,3.99,19.0
941,IF,G,Round,3.0,3.99,365.0
942,VVS1,G,Round,3.0,3.99,325.0
943,VVS2,G,Round,3.0,3.99,295.0
944,VS1,G,Round,3.0,3.99,265.0
945,VS2,G,Round,3.0,3.99,225.0
946,SI1,G,Round,3.0,3.99,175.0
947,SI2,G,Round,3.0,3.99,135.0
948,SI3,G,Round,3.0,3.99,80.0
949,I1,G,Round,3.0,3.99,65.0
950,I2,G,Round,3.0,3.99,34.0
951,I3,G,Round,3.0,3.99,18.0
952,IF,H,Round,3.0,3.99,270.0
953,VVS1,H,Round,3.0,3.99,250.0
954,VVS2,H,Round,3.0,3.99,235.0
955,VS1,H,Round,3.0,3.99,220.0
956,VS2,H,Round,3.0,3.99,185.0
957,SI1,H,Round,3.0,3.99,150.0
958,SI2,H,Round,3.0,3.99,125.0
959,SI3,H,Round,3.0,3.99,75.0
960,I1,H,Round,3.0,3.99,63.0
961,I2,H,Round,3.0,3.99,32.0
962,I3,H,Round,3.0,3.99,17.0
963,IF,I,Round,3.0,3.99,205.0
964,VVS1,I,Round,3.0,3.99,195.0
965,VVS2,I,Round,3.0,3.99,185.0
966,VS1,I,Round,3.0,3.99,175.0
967,VS2,I,Round,3.0,3.99,150.0
968,SI1,I,Round,3.0,3.99,130.0
969,SI2,I,Round,3.0,3.99,110.0
970,SI3,I,Round,3.0,3.99,70.0
971,I1,I,Round,3.0,3.99,59.0
972,I2,I,Round,3.0,3.99,30.0
973,I3,I,Round,3.0,3.99,17.0
974,IF,J,Round,3.0,3.99,160.0
975,VVS1,J,Round,3.0,3.99,150.0
976,VVS2,J,Round,3.0,3.99,145.0
977,VS1,J,Round,3.0,3.99,135.0
978,VS2,J,Round,3.0,3.99,125.0
979,SI1,J,Round,3.0,3.99,110.0
980,SI2,J,Round,3.0,3.99,95.0
981,SI3,J,Round,3.0,3.99,65.0
982,I1,J,Round,3.0,3.99,53.0
983,I2,J,Round,3.0,3.99,28.0
984,I3,J,Round,3.0,3.99,16.0
985,IF,K,Round,3.0,3.99,135.0
986,VVS1,K,Round,3.0,3.99,125.0
987,VVS2,K,Round,3.0,3.99,120.0
988,VS1,K,Round,3.0,3.99,110.0
989,VS2,K,Round,3.0,3.99,100.0
990,SI1,K,Round,3.0,3.99,92.0
991,SI2,K,Round,3.0,3.99,82.0
992,SI3,K,Round,3.0,3.99,60.0
993,I1,K,Round,3.0,3.99,47.0
994,I2,K,Round,3.0,3.99,27.0
995,I3,K,Round,3.0,3.99,16.0
996,IF,L,Round,3.0,3.99,105.0
997,VVS1,L,Round,3.0,3.99,100.0
998,VVS2,L,Round,3.0,3.99,95.0
999,VS1,L,Round,3.0,3.99,90.0
1000,VS2,L,Round,3.0,3.99,85.0
1001,SI1,L,Round,3.0,3.99,77.0
1002,SI2,L,Round,3.0,3.99,67.0
1003,SI3,L,Round,3.0,3.99,50.0
1004,I1,L,Round,3.0,3.99,41.0
1005,I2,L,Round,3.0,3.99,26.0
1006,I3,L,Round,3.0,3.99,15.0
1007,IF,M,Round,3.0,3.99,90.0
1008,VVS1,M,Round,3.0,3.99,87.0
1009,VVS2,M,Round,3.0,3.99,85.0
1010,VS1,M,Round,3.0,3.99,80.0
1011,VS2,M,Round,3.0,3.99,75.0
1012,SI1,M,Round,3.0,3.99,65.0
1013,SI2,M,Round,3.0,3.99,55.0
1014,SI3,M,Round,3.0,3.99,45.0
1015,I1,M,Round,3.0,3.99,33.0
1016,I2,M,Round,3.0,3.99,25.0
1017,I3,M,Round,3.0,3.99,15.0
1018,IF,D,Round,4.0,4.99,980.0
1019,VVS1,D,Round,4.0,4.99,700.0
1020,VVS2,D,Round,4.0,4.99,630.0
1021,VS1,D,Round,4.0,4.99,530.0
1022,VS2,D,Round,4.0,4.99,410.0
1023,SI1,D,Round,4.0,4.99,275.0
1024,SI2,D,Round,4.0,4.99,190.0
1025,SI3,D,Round,4.0,4.99,105.0
1026,I1,D,Round,4.0,4.99,85.0
1027,I2,D,Round,4.0,4.99,44.0
1028,I3,D,Round,4.0,4.99,23.0
1029,IF,E,Round,4.0,4.99,690.0
1030,VVS1,E,Round,4.0,4.99,625.0
1031,VVS2,E,Round,4.0,4.99,545.0
1032,VS1,E,Round,4.0,4.99,480.0
1033,VS2,E,Round,4.0,4.99,390.0
1034,SI1,E,Round,4.0,4.99,260.0
1035,SI2,E,Round,4.0,4.99,185.0
1036,SI3,E,Round,4.0,4.99,100.0
1037,I1,E,Round,4.0,4.99,80.0
1038,I2,E,Round,4.0,4.99,42.0
1039,I3,E,Round,4.0,4.99,22.0
1040,IF,F,Round,4.0,4.99,615.0
1041,VVS1,F,Round,4.0,4.99,535.0
1042,VVS2,F,Round,4.0,4.99,475.0
1043,VS1,F,Round,4.0,4.99,425.0
1044,VS2,F,Round,4.0,4.99,355.0
1045,SI1,F,Round,4.0,4.99,245.0
1046,SI2,F,Round,4.0,4.99,180.0
1047,SI3,F,Round,4.0,4.99,95.0
1048,I1,F,Round,4.0,4.99,75.0
1049,I2,F,Round,4.0,4.99,40.0
1050,I3,F,Round,4.0,4.99,21.0
1051,IF,G,Round,4.0,4.99,465.0
1052,VVS1,G,Round,4.0,4.99,415.0
1053,VVS2,G,Round,4.0,4.99,380.0
1054,VS1,G,Round,4.0,4.99,370.0
1055,VS2,G,Round,4.0,4.99,300.0
1056,SI1,G,Round,4.0,4.99,210.0
1057,SI2,G,Round,4.0,4.99,165.0
1058,SI3,G,Round,4.0,4.99,90.0
1059,I1,G,Round,4.0,4.99,70.0
1060,I2,G,Round,4.0,4.99,38.0
1061,I3,G,Round,4.0,4.99,20.0
1062,IF,H,Round,4.0,4.99,350.0
1063,VVS1,H,Round,4.0,4.99,330.0
1064,VVS2,H,Round,4.0,4.99,300.0
1065,VS1,H,Round,4.0,4.99,295.0
1066,VS2,H,Round,4.0,4.99,250.0
1067,SI1,H,Round,4.0,4.99,185.0
1068,SI2,H,Round,4.0,4.99,155.0
1069,SI3,H,Round,4.0,4.99,85.0
1070,I1,H,Round,4.0,4.99,65.0
1071,I2,H,Round,4.0,4.99,36.0
1072,I3,H,Round,4.0,4.99,19.0
1073,IF,I,Round,4.0,4.99,260.0
1074,VVS1,I,Round,4.0,4.99,245.0
1075,VVS2,I,Round,4.0,4.99,230.0
1076,VS1,I,Round,4.0,4.99,220.0
1077,VS2,I,Round,4.0,4.99,190.0
1078,SI1,I,Round,4.0,4.99,160.0
1079,SI2,I,Round,4.0,4.99,135.0
1080,SI3,I,Round,4.0,4.99,80.0
1081,I1,I,Round,4.0,4.99,60.0
1082,I2,I,Round,4.0,4.99,34.0
1083,I3,I,Round,4.0,4.99,18.0
1084,IF,J,Round,4.0,4.99,210.0
1085,VVS1,J,Round,4.0,4.99,200.0
1086,VVS2,J,Round,4.0,4.99,185.0
1087,VS1,J,Round,4.0,4.99,175.0
1088,VS2,J,Round,4.0,4.99,160.0
1089,SI1,J,Round,4.0,4.99,140.0
1090,SI2,J,Round,4.0,4.99,120.0
1091,SI3,J,Round,4.0,4.99,70.0
1092,I1,J,Round,4.0,4.99,55.0
1093,I2,J,Round,4.0,4.99,32.0
1094,I3,J,Round,4.0,4.99,17.0
1095,IF,K,Round,4.0,4.99,175.0
1096,VVS1,K,Round,4.0,4.99,165.0
1097,VVS2,K,Round,4.0,4.99,155.0
1098,VS1,K,Round,4.0,4.99,145.0
1099,VS2,K,Round,4.0,4.99,135.0
1100,SI1,K,Round,4.0,4.99,115.0
1101,SI2,K,Round,4.0,4.99,100.0
1102,SI3,K,Round,4.0,4.99,65.0
1103,I1,K,Round,4.0,4.99,50.0
1104,I2,K,Round,4.0,4.99,30.0
1105,I3,K,Round,4.0,4.99,17.0
1106,IF,L,Round,4.0,4.99,130.0
1107,VVS1,L,Round,4.0,4.99,120.0
1108,VVS2,L,Round,4.0,4.99,110.0
1109,VS1,L,Round,4.0,4.99,105.0
1110,VS2,L,Round,4.0,4.99,95.0
1111,SI1,L,Round,4.0,4.99,85.0
1112,SI2,L,Round,4.0,4.99,75.0
1113,SI3,L,Round,4.0,4.99,60.0
1114,I1,L,Round,4.0,4.99,45.0
1115,I2,L,Round,4.0,4.99,28.0
1116,I3,L,Round,4.0,4.99,16.0
1117,IF,M,Round,4.0,4.99,110.0
1118,VVS1,M,Round,4.0,4.99,100.0
1119,VVS2,M,Round,4.0,4.99,95.0
1120,VS1,M,Round,4.0,4.99,90.0
1121,VS2,M,Round,4.0,4.99,85.0
1122,SI1,M,Round,4.0,4.99,75.0
1123,SI2,M,Round,4.0,4.99,65.0
1124,SI3,M,Round,4.0,4.99,50.0
1125,I1,M,Round,4.0,4.99,35.0
1126,I2,M,Round,4.0,4.99,27.0
1127,I3,M,Round,4.0,4.99,16.0
1128,IF,D,Round,5.0,5.99,1300.0
1129,VVS1,D,Round,5.0,5.99,1000.0
1130,VVS2,D,Round,5.0,5.99,870.0
1131,VS1,D,Round,5.0,5.99,750.0
1132,VS2,D,Round,5.0,5.99,575.0
1133,SI1,D,Round,5.0,5.99,370.0
1134,SI2,D,Round,5.0,5.99,250.0
1135,SI3,D,Round,5.0,5.99,115.0
1136,I1,D,Round,5.0,5.99,90.0
1137,I2,D,Round,5.0,5.99,47.0
1138,I3,D,Round,5.0,5.99,25.0
1139,IF,E,Round,5.0,5.99,930.0
1140,VVS1,E,Round,5.0,5.99,820.0
1141,VVS2,E,Round,5.0,5.99,750.0
1142,VS1,E,Round,5.0,5.99,670.0
1143,VS2,E,Round,5.0,5.99,520.0
1144,SI1,E,Round,5.0,5.99,345.0
1145,SI2,E,Round,5.0,5.99,240.0
1146,SI3,E,Round,5.0,5.99,110.0
1147,I1,E,Round,5.0,5.99,85.0
1148,I2,E,Round,5.0,5.99,45.0
1149,I3,E,Round,5.0,5.99,24.0
1150,IF,F,Round,5.0,5.99,800.0
1151,VVS1,F,Round,5.0,5.99,745.0
1152,VVS2,F,Round,5.0,5.99,670.0
1153,VS1,F,Round,5.0,5.99,600.0
1154,VS2,F,Round,5.0,5.99,450.0
1155,SI1,F,Round,5.0,5.99,320.0
1156,SI2,F,Round,5.0,5.99,230.0
1157,SI3,F,Round,5.0,5.99,105.0
1158,I1,F,Round,5.0,5.99,80.0
1159,I2,F,Round,5.0,5.99,43.0
1160,I3,F,Round,5.0,5.99,23.0
1161,IF,G,Round,5.0,5.99,600.0
1162,VVS1,G,Round,5.0,5.99,550.0
1163,VVS2,G,Round,5.0,5.99,500.0
1164,VS1,G,Round,5.0,5.99,460.0
1165,VS2,G,Round,5.0,5.99,395.0
1166,SI1,G,Round,5.0,5.99,280.0
1167,SI2,G,Round,5.0,5.99,220.0
1168,SI3,G,Round,5.0,5.99,100.0
1169,I1,G,Round,5.0,5.99,75.0
1170,I2,G,Round,5.0,5.99,41.0
1171,I3,G,Round,5.0,5.99,22.0
1172,IF,H,Round,5.0,5.99,470.0
1173,VVS1,H,Round,5.0,5.99,430.0
1174,VVS2,H,Round,5.0,5.99,400.0
1175,VS1,H,Round,5.0,5.99,365.0
1176,VS2,H,Round,5.0,5.99,310.0
1177,SI1,H,Round,5.0,5.99,240.0
1178,SI2,H,Round,5.0,5.99,190.0
1179,SI3,H,Round,5.0,5.99,90.0
1180,I1,H,Round,5.0,5.99,70.0
1181,I2,H,Round,5.0,5.99,39.0
1182,I3,H,Round,5.0,5.99,21.0
1183,IF,I,Round,5.0,5.99,350.0
1184,VVS1,I,Round,5.0,5.99,325.0
1185,VVS2,I,Round,5.0,5.99,310.0
1186,VS1,I,Round,5.0,5.99,290.0
1187,VS2,I,Round,5.0,5.99,260.0
1188,SI1,I,Round,5.0,5.99,205.0
1189,SI2,I,Round,5.0,5.99,165.0
1190,SI3,I,Round,5.0,5.99,85.0
1191,I1,I,Round,5.0,5.99,65.0
1192,I2,I,Round,5.0,5.99,37.0
1193,I3,I,Round,5.0,5.99,20.0
1194,IF,J,Round,5.0,5.99,260.0
1195,VVS1,J,Round,5.0,5.99,250.0
1196,VVS2,J,Round,5.0,5.99,235.0
1197,VS1,J,Round,5.0,5.99,225.0
1198,VS2,J,Round,5.0,5.99,215.0
1199,SI1,J,Round,5.0,5.99,175.0
1200,SI2,J,Round,5.0,5.99,145.0
1201,SI3,J,Round,5.0,5.99,75.0
1202,I1,J,Round,5.0,5.99,60.0
1203,I2,J,Round,5.0,5.99,35.0
1204,I3,J,Round,5.0,5.99,19.0
1205,IF,K,Round,5.0,5.99,205.0
1206,VVS1,K,Round,5.0,5.99,190.0
1207,VVS2,K,Round,5.0,5.99,180.0
1208,VS1,K,Round,5.0,5.99,170.0
1209,VS2,K,Round,5.0,5.99,165.0
1210,SI1,K,Round,5.0,5.99,145.0
1211,SI2,K,Round,5.0,5.99,120.0
